state,mean,std_dev,ci_lower,ci_upper,state_full
ND,4.3024166251005855,4.706575165713735,0.10121457489878544,12.330040309947995,North Dakota
WV,3.6116295887965024,2.2499654895335963,0.192492781520693,5.555210339899335,West Virginia
DE,5.4254610322270524,3.15505353369537,0.3795066413662239,8.42503188543458,Delaware
SC,6.635530732869587,2.6257421317811707,2.106824489199881,8.623705728968886,South Carolina
PR,5.252186704570275,1.9955872379977926,2.198071580323582,7.854671280276817,Puerto Rico
MT,6.239901692697828,3.48382645988131,2.534941142169904,11.479384893633053,Montana
AK,5.162903523091533,3.468895802935323,2.5562662876095708,11.228026117528879,Alaska
AR,5.35715606778775,1.9002218234490007,2.6463480476027526,7.510492104274918,Arkansas
KS,7.02048051235717,2.277159716984286,3.214903074453636,9.412961348445219,Kansas
MD,9.43705061910173,4.536308726792538,3.399437597068093,15.696664290869684,Maryland
LA,5.573477134408554,2.3156330804676437,3.653308368485972,9.583790868194537,Louisiana
KY,5.038837077629877,0.9494426976191715,3.6980944750226437,6.236982734995888,Kentucky
TN,5.672793667003345,1.4247749640437908,3.818517773739106,7.616974139302486,Tennessee
ME,6.767521469185719,2.573087229569677,3.85618479880775,10.085308599564868,Maine
MO,6.894577492339742,2.45090285851666,3.880088740999522,9.768544273852665,Missouri
PA,6.9627810953928035,2.1990956898629306,4.156983114533397,10.350283450458207,Pennsylvania
NE,7.682008683560359,2.9601025914346493,4.258914576802509,11.677581619139035,Nebraska
RI,8.460785195038003,3.020576264395022,4.4461783012990335,12.777623957974768,Rhode Island
CT,7.531275856926614,1.8051594043554746,4.475805223293363,9.336767594257962,Connecticut
NV,5.973554884501816,1.6742703328220576,4.492080514939673,8.85870909740338,Nevada
MS,7.568555591567787,2.5969874915346938,4.49853684490556,10.64437766541306,Mississippi
VA,5.736038595668498,1.462151193791687,4.516880113076627,8.228171438306724,Virginia
IA,6.624775725752427,1.1853025665676575,4.612608081891578,7.679437837284246,Iowa
GA,6.555889548302352,1.1678381718079374,4.772899412388979,8.020351753749484,Georgia
IN,5.6303914356814895,0.48649220516188224,4.797917549741762,6.072734607155422,Indiana
ID,8.310161115993882,2.0319911441486056,4.872384659618702,10.300391245273135,Idaho
OH,7.488264606121083,1.9809065097059129,5.128081784392351,10.55167493084802,Ohio
MI,6.095134956574389,0.7386047919483103,5.130818854603513,7.162967056584077,Michigan
WA,8.357234544774448,2.252475540291884,5.147422354138689,11.486921059959403,Washington
NJ,6.434407774376808,1.014551033988292,5.189163909783249,7.939383780568169,New Jersey
HI,7.965668276374913,2.3286381388751303,5.304066658375824,10.745007294129483,Hawaii
IL,7.195622255318561,1.2787361286236734,5.315140571455164,8.744764478115776,Illinois
OK,7.152252780500399,1.4265232650653223,5.455915388801294,9.380494380266466,Oklahoma
MN,7.611031235360256,1.7075945454061925,5.482847591947202,10.005964035523405,Minnesota
WI,7.108782283012094,1.218412693804039,5.553077363748909,8.533096534534865,Wisconsin
TX,6.43872008262975,0.573236664513301,5.596551419442067,7.230349987640756,Texas
CA,7.806538204733599,1.5281123348874184,5.850906250149627,10.184468342363616,California
NM,9.102613527125314,2.595399154936208,5.925696594427244,12.1040651857897,New Mexico
VT,9.56747554896121,2.8946260170272096,6.026208933185677,14.106796116504855,Vermont
AZ,7.828105072869927,0.9251638144823813,6.21595540777304,8.56283596580549,Arizona
FL,8.487977595246516,1.2344328979030572,6.364654964991155,9.597160125641453,Florida
NC,7.641438404560899,1.1607486373496478,6.530054655624438,9.544734601113431,North Carolina
MA,10.960223115536921,3.7317942646608357,6.773178023884106,15.961478599406146,Massachusetts
NY,7.979535209697107,0.9661672501255341,6.944648226651442,9.154624578353392,New York
UT,9.697011548103362,1.9083213468448021,7.7782355341290375,12.847820074760687,Utah
NH,11.647686653038715,2.9370190714644155,7.808219178082192,15.860062957781254,New Hampshire
CO,12.800068730317344,3.5836828050973017,9.310828594840215,18.84427686070492,Colorado
AL,11.967713050219448,3.5743421679212903,9.374762833137792,18.163804115384476,Alabama
OR,11.686788776791298,2.0935663744385247,9.58865776141059,15.227520815793232,Oregon
SD,19.435371732741345,6.59066074305126,12.008747829307229,28.94736842105263,South Dakota
